,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05,q_0.5,q_0.95,q_0.955,q_0.96,q_0.965,q_0.97,q_0.975,q_0.98,q_0.985,q_0.99,q_0.995
Hour 12,0.05956564654688683,0.10825585391136908,0.1503784034359839,0.19254577257710115,0.2285139513323384,0.26074741656395695,0.2869603296833654,0.30926366724814136,0.3149159050849176,0.3006816861552577,1.4305713235178306,0.2734752288326143,0.2769802612550799,0.263583270854335,0.2466707865068992,0.2197973978842461,0.19199250448903749,0.1619503268334175,0.12911617717127657,0.09273518844112282,0.05290455912928432
Hour 13,0.061911995463217455,0.10542722081830425,0.14566385384836505,0.18422346166795295,0.2195777051987186,0.2563941363426946,0.2900343228740076,0.31410277562295225,0.36657548143940566,0.3839161802722561,1.4926809421662364,0.30345762954219724,0.2979822554803666,0.29052590174521203,0.26759009040094217,0.24207482875700947,0.21008997898717102,0.1765321301860195,0.14000775190784095,0.10051135898713154,0.05751146688153673
Hour 14,0.05866710493026242,0.1037840630808184,0.14644970538231628,0.18518621319186293,0.23829204171703708,0.28793044086579345,0.4028418289799843,0.4417077599310106,0.4840073106581165,0.48667020084011936,1.2449424989761848,0.30880550113801064,0.3152351193827971,0.3069395041188889,0.28371697968513765,0.2537829273346934,0.21660560718659455,0.18067988428915724,0.14535112152099622,0.10394724662534661,0.055618756054293776
Hour 15,0.06536230660715411,0.11866427061019405,0.1684334680864888,0.21486921081542967,0.25575649298391034,0.2927309004998976,0.3227887601175617,0.38248337687830763,0.40309206432219463,0.4344752497519215,1.5263836669921877,0.30225142005182115,0.3108848154129523,0.3010666714575986,0.2783220972614905,0.24896975983650482,0.21591912755658568,0.18196915332425043,0.14442720477196494,0.10056167440106799,0.05653350564279869
Hour 16,0.07320833940813617,0.13061812178088772,0.18431919763626592,0.23514336971159908,0.2784510010750062,0.3196005874387679,0.3535324549398115,0.38510754463441904,0.411072664851527,0.4270705342446603,1.5173708786502957,0.30368905565815607,0.31257616660825704,0.2947061627787931,0.272474962615967,0.24650846749582622,0.2142470746194165,0.17892806160219268,0.1400439826473114,0.10021065811649452,0.056237716404084294
Hour 17,0.07153183796790337,0.129607611280872,0.18361859085329119,0.23086324930498672,0.27649879984701836,0.3164959226546749,0.3544885420276273,0.3844951123637538,0.413878605430357,0.41804304627449274,1.6560315285959548,0.30299155499858266,0.3091889095429453,0.2947272382182462,0.27266975031206714,0.24250775225239435,0.21425982838292296,0.1783218587567731,0.14049498640491123,0.09996720871463906,0.05804970912318082
Hour 18,0.06632657553765083,0.1212765145086473,0.17199143087325555,0.21670914045764553,0.26321374345594833,0.30062283886324975,0.3367166709530739,0.3670520581645351,0.403450638727988,0.47396579508627606,1.6191813179754442,0.2945138616254255,0.2856533196480045,0.2712579644972281,0.2565687607549854,0.23450595393027052,0.2048635116084931,0.16949406551238044,0.13573767338414358,0.09776978287235394,0.05395036456200388
Hour 19,0.06922794901940131,0.12622449271909655,0.18069947784177723,0.22992960800663118,0.27552000968687,0.3171378545453472,0.3539307893937635,0.38702623478058845,0.4099723273861792,0.3956205097321542,1.8338369431034205,0.24986719439106617,0.26599832079487484,0.2642691994943929,0.24818524194532846,0.2269252410396455,0.20040554046630882,0.1701939894153228,0.13594806068174312,0.10363143477901345,0.06556235984063924
Hour 20,0.06536149485188145,0.1219584427864321,0.17199510416830732,0.21979727955479778,0.26536717254884773,0.30551225716375535,0.3374104012889247,0.3718175431774507,0.389926970894106,0.3784124127049599,1.5965849673363472,0.3232918063748271,0.26998036703294354,0.25850074777910814,0.24395101402036629,0.22496291198730492,0.19797539409514417,0.17372474306168115,0.14942441297961834,0.11729712150327634,0.0760320974288449
Hour 21,0.07139529454631192,0.12905471208633915,0.18210157673743468,0.23119756312216483,0.27932672248348106,0.323298608152328,0.3637584814010128,0.3951897931498867,0.4180979495633034,0.4023907949386104,1.4380671790338337,0.25331185568532666,0.2439298770535379,0.2417803232500632,0.22652139247771252,0.20697339329873388,0.19384993067095377,0.1662455855831025,0.13869203441989053,0.10008212713426169,0.06579052606398064
Hour 22,0.07290584805396294,0.12627817328668406,0.1786440263317477,0.22660624084472658,0.2696856896185106,0.30689404242730906,0.34170478847872826,0.3711682469521799,0.3921816126177387,0.4131700067827779,1.0757651913550592,0.27364021473546196,0.2646942930652252,0.2552490287534655,0.2348675029877695,0.2001565788515155,0.1832596965912851,0.15644152261057226,0.1267481694621426,0.09469376604633954,0.055430711980019906
Hour 23,0.07145702362060548,0.12793009419595042,0.18097140589068006,0.22812580477806838,0.2706881307786511,0.31187016640940013,0.34611014827605213,0.37627577258694556,0.3810882125362273,0.36321065964237337,1.5630252985800468,0.47245217231012165,0.3594401747180572,0.2982998854114165,0.2754643354108258,0.2547018174202213,0.23051408213953822,0.19074105047410542,0.16388828892861645,0.09157079142908897,0.05842968479279546
Hour 24,0.08496425101987777,0.15864898120510962,0.22617133129489037,0.2864852350050402,0.3459013567893735,0.404978110184208,0.4581101015029415,0.4985802186043031,0.5229825650245911,0.5146773857608918,2.100189019480059,0.5385800709878246,0.45788279320501535,0.403891707684917,0.3389952394547004,0.28906713507867665,0.2622475961254492,0.211650524902344,0.15199825451758625,0.10872839965820331,0.04094883553289602
